Unnamed: 0,COUNTY,county_name,total_population,county_fips,svi_score,hospital_count,fema_declarations,school_count
0,1,Adams County,21039,53001,0.98,2.0,10,17
1,3,Asotin County,22523,53003,0.4283,1.0,12,12
2,5,Benton County,218190,53005,0.6405,4.0,19,69
3,7,Chelan County,81228,53007,0.7999,4.0,49,43
4,9,Clallam County,77958,53009,0.5861,2.0,28,29
5,11,Clark County,527269,53011,0.4257,5.0,16,151
6,13,Columbia County,4025,53013,0.3576,1.0,16,6
7,15,Cowlitz County,113982,53015,0.7124,2.0,22,48
8,17,Douglas County,45795,53017,0.8116,2.0,19,21
9,19,Ferry County,7543,53019,0.7159,1.0,22,11
10,21,Franklin County,101238,53021,0.9147,1.0,11,41
11,23,Garfield County,2404,53023,0.2456,1.0,14,2
12,25,Grant County,104717,53025,0.931,4.0,12,61
13,27,Grays Harbor County,77893,53027,0.8215,4.0,33,46
14,29,Island County,86478,53029,0.3032,2.0,21,26
15,31,Jefferson County,33944,53031,0.3643,1.0,28,13
16,33,King County,2340211,53033,0.3761,36.0,33,544
17,35,Kitsap County,281420,53035,0.3334,3.0,16,77
18,37,Kittitas County,48172,53037,0.3366,1.0,27,20
19,39,Klickitat County,24124,53039,0.6414,2.0,27,22
20,41,Lewis County,87049,53041,0.7028,2.0,35,44
21,43,Lincoln County,11862,53043,0.2113,2.0,17,19
22,45,Mason County,69632,53045,0.573,1.0,30,26
23,47,Okanogan County,44942,53047,0.9453,3.0,39,38
24,49,Pacific County,24245,53049,0.7038,2.0,26,18
25,51,Pend Oreille County,14332,53051,0.4314,1.0,20,12
26,53,Pierce County,941170,53053,0.5434,16.0,24,289
27,55,San Juan County,18668,53055,0.1527,1.0,12,15
28,57,Skagit County,132736,53057,0.5982,3.0,27,54
29,59,Skamania County,12660,53059,0.2345,2.0,28,12
30,61,Snohomish County,864113,53061,0.3557,9.0,35,227
31,63,Spokane County,555947,53063,0.5638,12.0,28,186
32,65,Stevens County,49015,53065,0.4652,2.0,21,41
33,67,Thurston County,302912,53067,0.3939,3.0,28,85
34,69,Wahkiakum County,4800,53069,0.2039,2.0,31,2
35,71,Walla Walla County,62068,53071,0.8078,3.0,13,33
36,73,Whatcom County,234954,53073,0.5002,2.0,25,78
37,75,Whitman County,48399,53075,0.5186,2.0,18,28
38,77,Yakima County,258523,53077,0.9647,4.0,34,119
